vorlage_titel_de,urnengang_datum,thema,Parent,thema_ave,thema_count,thema1,Code,thema1_ave,thema1_count,thema2,thema3,stimmbeteiligung,ja_prozent,year,ImageURL
Bundesbeschluss über die Regelung der Geldspiele zugunsten gemeinnütziger Zwecke,2012-03-10T23:00:00Z,Wirtschaft,400,48.27157492,76,Strukturpolitik,410,51.12449513,13,Geldspiele,#N/A,44.76634527,87.08770208,2012,
Volksinitiative «6 Wochen Ferien für alle»,2012-03-10T23:00:00Z,Wirtschaft,400,48.27157492,76,Arbeitszeit,420,52.31992195,7,#N/A,#N/A,45.41698993,33.49897969,2012,
Volksinitiative «Für ein steuerlich begünstigtes Bausparen zum Erwerb von selbst genutztem Wohneigentum und zur Finanzierung von baulichen Energiespar- und Umweltschutzmassnahmen»,2012-03-10T23:00:00Z,Umwelt und Lebensraum,900,43.46254535,43,Wohnungsbau – Wohneigentum,920,41.20423223,7,Steuersystem,#N/A,44.9873002,44.19430521,2012,
Volksinitiative «Schluss mit uferlosem Bau von Zweitwohnungen!»,2012-03-10T23:00:00Z,Umwelt und Lebensraum,900,43.46254535,43,Raumplanung,910,40.42970618,5,Fremdenverkehr,#N/A,45.18243328,50.6324899,2012,
Volksinitiative «Für den Schutz vor Waffengewalt»,2011-02-12T23:00:00Z,Staatsordnung,100,48.14813263,94,Rechtsordnung,100,49.11932182,1,Armee (allgemein),#N/A,49.11932182,43.69737052,2011,
Volksinitiative «Für faire Steuern. Stopp dem Missbrauch beim Steuerwettbewerb»,2010-11-27T23:00:00Z,Öffentliche Finanzen,600,45.78524517,68,Steuerpolitik,610,44.52622981,8,Direkte Steuern,Beziehungen zwischen Bund und Kantone,52.36332351,41.53655559,2010,
Ausschaffungsinitiative und Gegenvorschlag: Stichfrage,2010-11-27T23:00:00Z,Sozialpolitik,1000,48.56855724,132,Ausländerpolitik,1030,51.12846747,20,Strafrecht,#N/A,52.92763204,49.6314764,2010,
Bundesbeschluss über die Aus- und Wegweisung krimineller Ausländerinnen und Ausländer im Rahmen der Bundesverfassung (Gegenentwurf zur Ausschaffungsinitiative),2010-11-27T23:00:00Z,Sozialpolitik,1000,48.56855724,132,Ausländerpolitik,1030,51.12846747,20,Strafrecht,#N/A,52.92763204,45.79220892,2010,
Volksinitiative «Für die Ausschaffung krimineller Ausländer»,2010-11-27T23:00:00Z,Sozialpolitik,1000,48.56855724,132,Ausländerpolitik,1030,51.12846747,20,Strafrecht,#N/A,52.92763204,52.91424808,2010,
Bundesgesetz über die obligatorische Arbeitslosenversicherung und die Insolvenzentschädigung,2010-09-25T22:00:00Z,Sozialpolitik,1000,48.56855724,132,Arbeitslosenversicherung,1020,39.67033043,5,#N/A,#N/A,35.8363698,53.42092039,2010,
"Bundesgesetz über die berufliche Alters-, Hinterlassenen- und Invalidenvorsorge (BVG) (Mindestumwandlungssatz)",2010-03-06T23:00:00Z,Sozialpolitik,1000,48.56855724,132,Berufliche Vorsorge,1020,45.75148338,1,#N/A,#N/A,45.75148338,27.26696407,2010,
Volksinitiative «Gegen Tierquälerei und für einen besseren Rechtsschutz der Tiere»,2010-03-06T23:00:00Z,Umwelt und Lebensraum,900,43.46254535,43,Tierschutz,930,40.40325898,2,#N/A,#N/A,45.81954485,29.50236113,2010,
Verfassungsartikel über die Forschung am Menschen,2010-03-06T23:00:00Z,Bildung und Forschung,1100,39.99022374,24,Forschung,1100,36.67529075,3,#N/A,#N/A,45.4841471,77.21438724,2010,
Volksinitiative «Gegen den Bau von Minaretten»,2009-11-28T23:00:00Z,"Kultur, Religion, Medien",1200,42.55941099,18,Religion – Kirchen,1200,42.68994831,4,Grundrechte,#N/A,53.75878771,57.50285639,2009,
Volksinitiative «Für ein Verbot von Kriegsmaterial-Exporten»,2009-11-28T23:00:00Z,Aussenpolitik,200,50.44954623,33,Aussenwirtschaftspolitik,200,48.34634639,4,Rüstung,#N/A,53.38577021,31.7671541,2009,
Bundesbeschluss zur Schaffung einer Spezialfinanzierung für Aufgaben im Luftverkehr,2009-11-28T23:00:00Z,Verkehr und Infrastruktur,800,47.82569784,55,Luftverkehr,800,43.88337024,3,#N/A,#N/A,52.62614317,64.99052203,2009,
Bundesbeschluss über den Verzicht auf die Einführung der allgemeinen Volksinitiative,2009-09-26T22:00:00Z,Staatsordnung,100,48.14813263,94,Initiative,140,41.52211466,8,#N/A,#N/A,40.43168491,67.87664579,2009,
Bundesbeschluss über eine befristete Zusatzfinanzierung der Invalidenversicherung durch Anhebung der Mehrwertsteuersätze,2009-09-26T22:00:00Z,Sozialpolitik,1000,48.56855724,132,Invalidenversicherung,1020,40.95104287,3,Behinderte,Indirekte Steuern,41.00881386,54.56199119,2009,
Bundesbeschluss über die Genehmigung und Umsetzung des Notenaustauschs zwischen der Schweiz und der EU betreffend die Übernahme der Verordnung über biometrische Pässe,2009-05-16T22:00:00Z,Staatsordnung,100,48.14813263,94,Datenschutz,160,45.02905953,2,EU,#N/A,38.77061991,50.14944769,2009,
Verfassungsartikel «Zukunft mit Komplementärmedizin» (Gegenentwurf zur Volksinitiative «Ja zur Komplementärmedizin»),2009-05-16T22:00:00Z,Sozialpolitik,1000,48.56855724,132,Gesundheitspolitik,1010,46.66984242,9,Kranken- und Unfallversicherung,#N/A,38.79861733,67.02816514,2009,
Weiterführung des Freizügigkeitsabkommens zwischen der CH und der EU sowie über die Genehmigung des Protokolls über die Ausdehnung des Abkommens auf Bulgarien und Rumänien,2009-02-07T23:00:00Z,Aussenpolitik,200,50.44954623,33,EU,220,49.92906491,10,#N/A,#N/A,51.44425705,59.61153322,2009,
Bundesgesetz über die Betäubungsmittel und psychotropen Stoffe,2008-11-29T23:00:00Z,Sozialpolitik,1000,48.56855724,132,Suchtmittel,1010,50.77990726,17,#N/A,#N/A,47.17333921,68.07869594,2008,
Volksinitiative «für eine vernünftige Hanf-Politik mit wirksamem Jugendschutz»,2008-11-29T23:00:00Z,Sozialpolitik,1000,48.56855724,132,Suchtmittel,1010,50.77990726,17,Kinder und Jugendliche,#N/A,47.37399611,36.74738653,2008,
Volksinitiative «Verbandsbeschwerderecht: Schluss mit der Verhinderungspolitik - Mehr Wachstum für die Schweiz!»,2008-11-29T23:00:00Z,Umwelt und Lebensraum,900,43.46254535,43,Natur- und Heimatschutz,930,43.0082358,2,#N/A,#N/A,47.24946426,33.99506776,2008,
Volksinitiative «für ein flexibles AHV-Alter»,2008-11-29T23:00:00Z,Sozialpolitik,1000,48.56855724,132,Alters- und Hinterbliebenenversicherung,1020,51.73038178,23,#N/A,#N/A,47.66970419,41.37722357,2008,
Volksinitiative «für die Unverjährbarkeit pornografischer Straftaten an Kindern»,2008-11-29T23:00:00Z,Staatsordnung,100,48.14813263,94,Strafrecht,160,48.45272312,13,Kinder und Jugendliche,#N/A,47.55186157,51.87499839,2008,
Verfassungsartikel «Für Qualität und Wirtschaftlichkeit in der Krankenversicherung»,2008-05-31T22:00:00Z,Sozialpolitik,1000,48.56855724,132,Kranken- und Unfallversicherung,1020,46.77694105,17,Gesundheitspolitik,#N/A,44.81443445,30.51720645,2008,
Volksinitiative «Volkssouveränität statt Behördenpropaganda»,2008-05-31T22:00:00Z,Staatsordnung,100,48.14813263,94,"Regierung, Verwaltung",130,54.26276138,13,#N/A,#N/A,44.8547376,24.79967715,2008,
Volksinitiative «Für demokratische Einbürgerungen»,2008-05-31T22:00:00Z,Staatsordnung,100,48.14813263,94,Bürgerrecht,160,45.4509234,7,Ausländerpolitik,#N/A,45.18400413,36.24946621,2008,
Bundesgesetz über die Verbesserung der steuerlichen Rahmenbedingungen für unternehmerische Tätigkeiten und Investitionen,2008-02-23T23:00:00Z,Öffentliche Finanzen,600,45.78524517,68,Direkte Steuern,610,50.08035786,14,Wirtschaftspolitik,#N/A,38.62526721,50.53161597,2008,
Volksinitiative «Gegen Kampfjetlärm in Tourismusgebieten»,2008-02-23T23:00:00Z,Umwelt und Lebensraum,900,43.46254535,43,Lärmschutz,930,38.74487724,1,Militäranlagen,Fremdenverkehr,38.74487724,31.9178707,2008,
Bundesgesetz über die Invalidenversicherung,2007-06-16T22:00:00Z,Sozialpolitik,1000,48.56855724,132,Invalidenversicherung,1020,40.95104287,3,#N/A,#N/A,36.20303668,59.08670711,2007,
Volksinitiative «Für eine soziale Einheitskrankenkasse»,2007-03-10T23:00:00Z,Sozialpolitik,1000,48.56855724,132,Kranken- und Unfallversicherung,1020,46.77694105,17,#N/A,#N/A,45.94418335,28.75804725,2007,
Bundesgesetz über die Familienzulagen,2006-11-25T23:00:00Z,Sozialpolitik,1000,48.56855724,132,Familienpolitik,1030,51.64752059,6,#N/A,#N/A,45.00622934,67.98221109,2006,
Bundesgesetz über die Zusammenarbeit mit den Staaten Osteuropas,2006-11-25T23:00:00Z,Aussenpolitik,200,50.44954623,33,EU,220,49.92906491,10,#N/A,#N/A,44.9815486,53.41921645,2006,
Änderung des Asylgesetzes,2006-09-23T22:00:00Z,Sozialpolitik,1000,48.56855724,132,Flüchtlinge,1030,45.42428137,8,#N/A,#N/A,48.91569594,67.75862522,2006,
Bundesgesetz über die Ausländerinnen und Ausländer,2006-09-23T22:00:00Z,Sozialpolitik,1000,48.56855724,132,Ausländerpolitik,1030,51.12846747,20,#N/A,#N/A,48.90936131,67.96614534,2006,
Volksinitiative «Nationalbankgewinne für die AHV»,2006-09-23T22:00:00Z,Sozialpolitik,1000,48.56855724,132,Alters- und Hinterbliebenenversicherung,1020,51.73038178,23,Geld- und Währungspolitik,#N/A,48.74782835,41.73540561,2006,
Bundesbeschluss über die Neuordnung der Verfassungsbestimmungen zur Bildung,2006-05-20T22:00:00Z,Bildung und Forschung,1100,39.99022374,24,Bildungspolitik,1100,27.8009579,1,Schulen,Hochschulen,27.8009579,85.57943776,2006,
Arbeitsgesetz (Ladenöffnungszeiten in Zentren des öffentlichen Verkehrs),2005-11-26T23:00:00Z,Wirtschaft,400,48.27157492,76,Arbeitsbedingungen,420,46.03557686,5,#N/A,#N/A,42.31496365,50.56464833,2005,
Volksinitiative «für Lebensmittel aus gentechnikfreier Landwirtschaft»,2005-11-26T23:00:00Z,Landwirtschaft,500,46.31987628,38,Agrarpolitik,500,42.87403572,11,Gentechnologie,Umweltpolitik,42.24584041,55.67055017,2005,
Bundesbeschluss über die Ausdehnung des Personenfreizügigkeitsabkommens auf die neuen EU-Staaten und über die Revision der flankierenden Massnahmen,2005-09-24T22:00:00Z,Aussenpolitik,200,50.44954623,33,EU,220,49.92906491,10,Arbeitsbedingungen,#N/A,54.28654865,55.97787419,2005,
"Bundesgesetz über die eingetragene Partnerschaft gleichgeschlechtlicher Paare (Partnerschaftsgesetz, PartG)",2005-06-04T22:00:00Z,Staatsordnung,100,48.14813263,94,Privatrecht,160,49.87401938,3,Homosexuelle,Grundrechte,56.52265423,58.0437067,2005,
Bundesbeschluss über die Genehmigung und die Umsetzung der bilateralen Abkommen zwischen der Schweiz und der EU über die Assoziierung an Schengen und Dublin,2005-06-04T22:00:00Z,Aussenpolitik,200,50.44954623,33,EU,220,49.92906491,10,Polizei,Flüchtlinge,56.64372822,54.62629544,2005,
Bundesgesetz über die Forschung an embryonalen Stammzellen,2004-11-27T23:00:00Z,Bildung und Forschung,1100,39.99022374,24,Forschung,1100,36.67529075,3,Fortpflanzungsmedizin,#N/A,37.03876984,66.39203874,2004,
Bundesbeschluss über eine neue Finanzordnung,2004-11-27T23:00:00Z,Öffentliche Finanzen,600,45.78524517,68,Finanzordnung,600,45.48570642,14,Steuersystem,#N/A,36.84280959,73.81137071,2004,
Bundesbeschluss zur Neugestaltung des Finanzausgleichs und der Aufgabenteilung zwischen Bund und Kantonen (NFA),2004-11-27T23:00:00Z,Staatsordnung,100,48.14813263,94,Beziehungen zwischen Bund und Kantone,150,56.40489911,3,Finanzordnung,#N/A,36.86239524,64.37249111,2004,
"Bundesgesetz über die Erwerbsersatzordnung für Dienstleistende in Armee, Zivildienst und Zivilschutz (Erwerbsersatzgesetz, EOG)",2004-09-25T22:00:00Z,Sozialpolitik,1000,48.56855724,132,Mutterschaftsversicherung,1020,48.23409855,4,Stellung der Frau,Erwerbsersatzordnung,53.81606075,55.45006748,2004,
Volksinitiative 'Postdienst für alle',2004-09-25T22:00:00Z,Verkehr und Infrastruktur,800,47.82569784,55,Post,800,50.98832396,3,#N/A,#N/A,53.54508224,49.77376306,2004,
Bundesbeschluss über den Bürgerrechtserwerb von Ausländerinnen und Ausländern der dritten Generation,2004-09-25T22:00:00Z,Staatsordnung,100,48.14813263,94,Bürgerrecht,160,45.4509234,7,Ausländerpolitik,#N/A,53.84190186,48.36667904,2004,
Bundesbeschluss über die ordentliche Einbürgerung sowie über die erleichterte Einbürgerung junger Ausländerinnen und Ausländer der zweiten Generation,2004-09-25T22:00:00Z,Staatsordnung,100,48.14813263,94,Bürgerrecht,160,45.4509234,7,Ausländerpolitik,#N/A,53.83064311,43.24098411,2004,
"Bundesgesetz über die Änderung von Erlassen im Bereich der Ehe- und Familienbesteuerung, der Wohneigentumsbesteuerung und der Stempelabgaben",2004-05-15T22:00:00Z,Öffentliche Finanzen,600,45.78524517,68,Steuerpolitik,610,44.52622981,8,Familienpolitik,Wohnungsbau – Wohneigentum,50.84570308,34.1231253,2004,
Bundesbeschluss über die Finanzierung der AHV/IV durch Anhebung der Mehrwertsteuersätze,2004-05-15T22:00:00Z,Sozialpolitik,1000,48.56855724,132,Alters- und Hinterbliebenenversicherung,1020,51.73038178,23,Indirekte Steuern,#N/A,50.83786681,31.41953331,2004,
Bundesgesetz über die Alters- und Hinterlassenenversicherung (11. AHV-Revision),2004-05-15T22:00:00Z,Sozialpolitik,1000,48.56855724,132,Alters- und Hinterbliebenenversicherung,1020,51.73038178,23,#N/A,#N/A,50.81919313,32.10063369,2004,
"Volksinitiative «Lebenslange Verwahrung für nicht therapierbare, extrem gefährliche Sexual- und Gewaltstraftäter»",2004-02-07T23:00:00Z,Staatsordnung,100,48.14813263,94,Strafrecht,160,48.45272312,13,Öffentliche Sicherheit,#N/A,45.53937691,56.19418628,2004,
Obligationenrecht (Miete). Änderung,2004-02-07T23:00:00Z,Umwelt und Lebensraum,900,43.46254535,43,Mietwesen,920,44.26261118,8,Privatrecht,#N/A,45.4258241,35.92744526,2004,
Gegenentwurf zur Volksinitiative «Avanti - für sichere und leistungsfähige Autobahnen»,2004-02-07T23:00:00Z,Verkehr und Infrastruktur,800,47.82569784,55,Agglomerationsverkehr,810,45.58477298,1,Strassenbau,#N/A,45.58477298,37.20180732,2004,
Volksinitiative «für ein ausreichendes Berufsbildungsangebot»,2003-05-17T22:00:00Z,Bildung und Forschung,1100,39.99022374,24,Berufsbildung,1100,41.14271142,4,Kinder und Jugendliche,Beschäftigungspolitik,49.56457535,31.60691239,2003,
Volksinitiative «MoratoriumPlus - Für die Verlängerung des Atomkraftwerk-Baustopps und die Begrenzung des Atomrisikos»,2003-05-17T22:00:00Z,Energie,700,44.90049356,23,Kernenergie,700,44.42780188,9,Umweltpolitik,#N/A,49.59588923,41.59775597,2003,
Volksinitiative «Strom ohne Atom - Für eine Energiewende und die schrittweise Stilllegung der Atomkraftwerke»,2003-05-17T22:00:00Z,Energie,700,44.90049356,23,Kernenergie,700,44.42780188,9,Umweltpolitik,#N/A,49.72238307,33.71492054,2003,
Volksinitiative «Gleiche Rechte für Behinderte»,2003-05-17T22:00:00Z,Sozialpolitik,1000,48.56855724,132,Behinderte,1030,49.69679887,1,Grundrechte,#N/A,49.69679887,37.67080119,2003,
Volksinitiative «Gesundheit muss bezahlbar bleiben»,2003-05-17T22:00:00Z,Sozialpolitik,1000,48.56855724,132,Kranken- und Unfallversicherung,1020,46.77694105,17,#N/A,#N/A,49.68156168,27.08562,2003,
Volksinitiative «für einen autofreien Sonntag pro Jahreszeit - ein Versuch für vier Jahre»,2003-05-17T22:00:00Z,Verkehr und Infrastruktur,800,47.82569784,55,Strassenverkehr,800,48.53296085,14,#N/A,#N/A,49.80811848,37.64610519,2003,
Volksinitiative «Ja zu fairen Mieten»,2003-05-17T22:00:00Z,Umwelt und Lebensraum,900,43.46254535,43,Mietwesen,920,44.26261118,8,#N/A,#N/A,49.58417801,32.7273823,2003,
Bundesgesetz über den Bevölkerungsschutz und den Zivilschutz,2003-05-17T22:00:00Z,Sicherheitspolitik,300,50.57895823,49,Bevölkerungsschutz,310,48.39636867,5,#N/A,#N/A,49.50778219,80.55791763,2003,
Bundesgesetz über die Armee und die Militärverwaltung (Armee XXI),2003-05-17T22:00:00Z,Sicherheitspolitik,300,50.57895823,49,Militärorganisation,320,59.74530515,4,#N/A,#N/A,49.56035679,76.03672342,2003,
Bundesgesetz über die Anpassung der kantonalen Beiträge an Spitalbehandlungen,2003-02-08T23:00:00Z,Sozialpolitik,1000,48.56855724,132,Kranken- und Unfallversicherung,1020,46.77694105,17,#N/A,#N/A,28.70982481,77.35540882,2003,
Bundesbeschluss über die Änderung der Volksrechte,2003-02-08T23:00:00Z,Staatsordnung,100,48.14813263,94,Initiative,140,41.52211466,8,#N/A,#N/A,28.71325228,70.35061383,2003,
Bundesgesetz über die obligatorische  Arbeitslosenversicherung und die Insolvenzentschädigung,2002-11-23T23:00:00Z,Sozialpolitik,1000,48.56855724,132,Arbeitslosenversicherung,1020,39.67033043,5,#N/A,#N/A,47.62366016,56.0957704,2002,
Volksinitiative «gegen Asylrechtsmissbrauch»,2002-11-23T23:00:00Z,Sozialpolitik,1000,48.56855724,132,Flüchtlinge,1030,45.42428137,8,#N/A,#N/A,47.92810265,49.90619254,2002,
Elektrizitätsmarktgesetz,2002-09-21T22:00:00Z,Energie,700,44.90049356,23,Energiepolitik,700,40.68013851,7,#N/A,#N/A,44.79607402,47.42485065,2002,
Goldinitiative und Gegenvorschlag: Stichfrage,2002-09-21T22:00:00Z,Wirtschaft,400,48.27157492,76,Geld- und Währungspolitik,430,44.43197927,9,Alters- und Hinterbliebenenversicherung,Beziehungen zwischen Bund und Kantone,45.17154326,48.30279308,2002,
"Gold für AHV, Kantone und Stiftung (Gegenvorschlag zur Goldinitiative)",2002-09-21T22:00:00Z,Wirtschaft,400,48.27157492,76,Geld- und Währungspolitik,430,44.43197927,9,Alters- und Hinterbliebenenversicherung,Beziehungen zwischen Bund und Kantone,45.17154326,48.21588346,2002,
Volksinitiative «Überschüssige Goldreserven in den AHV-Fonds»,2002-09-21T22:00:00Z,Wirtschaft,400,48.27157492,76,Geld- und Währungspolitik,430,44.43197927,9,Alters- und Hinterbliebenenversicherung,#N/A,45.17154326,47.55902239,2002,
Volksinitiative «für Mutter und Kind - für den Schutz des ungeborenen Kindes und für die Hilfe an seine Mutter in Not»,2002-06-01T22:00:00Z,Staatsordnung,100,48.14813263,94,Strafrecht,160,48.45272312,13,Grundrechte,Stellung der Frau,41.69869577,18.2484148,2002,
"Schweizerisches Strafgesetzbuch (Schwangerschaftsabbruch, Fristenregelung)",2002-06-01T22:00:00Z,Staatsordnung,100,48.14813263,94,Strafrecht,160,48.45272312,13,Stellung der Frau,#N/A,41.81553099,72.15451241,2002,
Volksinitiative «für eine kürzere Arbeitszeit»,2002-03-02T23:00:00Z,Wirtschaft,400,48.27157492,76,Arbeitszeit,420,52.31992195,7,#N/A,#N/A,58.26166354,25.36563012,2002,
Volksinitiative «für den Beitritt der Schweiz zur Organisation der Vereinten Nationen (UNO)»,2002-03-02T23:00:00Z,Aussenpolitik,200,50.44954623,33,UNO,230,51.97214092,3,#N/A,#N/A,58.43419631,54.61138745,2002,
Volksinitiative «für eine Kapitalgewinnsteuer»,2001-12-01T23:00:00Z,Öffentliche Finanzen,600,45.78524517,68,Direkte Steuern,610,50.08035786,14,#N/A,#N/A,37.84699389,34.11065478,2001,Archiv/2001.png
Volksinitiative «Solidarität schafft Sicherheit: Für einen freiwilligen zivilen Friedensdienst (ZFD)»,2001-12-01T23:00:00Z,Sicherheitspolitik,300,50.57895823,49,Dienstverweigerung – Zivildienst,320,40.28862995,5,#N/A,#N/A,37.85312641,23.21381166,2001,
Volksinitiative «für eine glaubwürdige Sicherheitspolitik und eine Schweiz ohne Armee»,2001-12-01T23:00:00Z,Sicherheitspolitik,300,50.57895823,49,Armeeabschaffung,320,53.55424983,2,#N/A,#N/A,37.92608003,21.90289218,2001,
Volksinitiative «für eine gesicherte AHV - Energie statt Arbeit besteuern!»,2001-12-01T23:00:00Z,Energie,700,44.90049356,23,Energiepolitik,700,40.68013851,7,Indirekte Steuern,Alters- und Hinterbliebenenversicherung,37.84563582,22.86233409,2001,
Bundesbeschluss über eine Schuldenbremse,2001-12-01T23:00:00Z,Öffentliche Finanzen,600,45.78524517,68,Öffentliche Ausgaben,600,41.28712299,7,#N/A,#N/A,37.82174234,84.74169554,2001,
Bundesbeschluss über die Aufhebung der Genehmigungspflicht für die Errichtung von Bistümern,2001-06-09T22:00:00Z,"Kultur, Religion, Medien",1200,42.55941099,18,Religion – Kirchen,1200,42.68994831,4,#N/A,#N/A,42.0496003,64.20052196,2001,
Bundesgesetz über die Armee und die Militärverwaltung (Ausbildungszusammenarbeit),2001-06-09T22:00:00Z,Sicherheitspolitik,300,50.57895823,49,Internationale Einsätze,320,42.4980935,1,Internationale Einsätze,#N/A,42.4980935,51.14341419,2001,
Bundesgesetz über die Armee und die Militärverwaltung (Bewaffnung),2001-06-09T22:00:00Z,Sicherheitspolitik,300,50.57895823,49,Armee (allgemein),320,51.70276136,6,Internationale Einsätze,#N/A,42.51784491,50.99123638,2001,
Volksinitiative «für mehr Verkehrssicherheit durch Tempo 30 innerorts mit Ausnahmen (Strassen für alle)»,2001-03-03T23:00:00Z,Verkehr und Infrastruktur,800,47.82569784,55,Strassenverkehr,800,48.53296085,14,Umweltpolitik,#N/A,55.79952569,20.30222606,2001,
Volksinitiative «für tiefere Arzneimittelpreise»,2001-03-03T23:00:00Z,Sozialpolitik,1000,48.56855724,132,Medikamente,1010,55.71141575,1,#N/A,#N/A,55.71141575,30.85253329,2001,
Volksinitiative «Ja zu Europa!»,2001-03-03T23:00:00Z,Aussenpolitik,200,50.44954623,33,EU,220,49.92906491,10,#N/A,#N/A,55.79909911,23.15004539,2001,
Bundespersonalgesetz,2000-11-25T23:00:00Z,Staatsordnung,100,48.14813263,94,"Regierung, Verwaltung",130,54.26276138,13,#N/A,#N/A,41.53394874,66.83068852,2000,
Volksinitiative «für tiefere Spitalkosten»,2000-11-25T23:00:00Z,Sozialpolitik,1000,48.56855724,132,Gesundheitspolitik,1010,46.66984242,9,Kranken- und Unfallversicherung,#N/A,41.66127079,17.88795621,2000,
Volksinitiative «Sparen beim Militär und der Gesamtverteidigung - für mehr Frieden und zukunftsgerichtete Arbeitsplätze»,2000-11-25T23:00:00Z,Sicherheitspolitik,300,50.57895823,49,Armee (allgemein),320,51.70276136,6,#N/A,#N/A,41.7164508,37.62009813,2000,
Volksinitiative «für ein flexibles Rentenalter ab 62 für Frau und Mann»,2000-11-25T23:00:00Z,Sozialpolitik,1000,48.56855724,132,Alters- und Hinterbliebenenversicherung,1020,51.73038178,23,Stellung der Frau,#N/A,41.71647216,46.01993914,2000,
Volksinitiative «für eine Flexibilisierung der AHV - gegen die Erhöhung des Rentenalters für Frauen»,2000-11-25T23:00:00Z,Sozialpolitik,1000,48.56855724,132,Alters- und Hinterbliebenenversicherung,1020,51.73038178,23,Stellung der Frau,#N/A,41.6639625,39.47209246,2000,
Volksinitiative «Mehr Rechte für das Volk dank dem Referendum mit Gegenvorschlag»,2000-09-23T22:00:00Z,Staatsordnung,100,48.14813263,94,Referendum,140,49.88956626,5,#N/A,#N/A,44.8096026,34.0978413,2000,
Volksinitiative «für eine Regelung der Zuwanderung»,2000-09-23T22:00:00Z,Sozialpolitik,1000,48.56855724,132,Ausländerpolitik,1030,51.12846747,20,#N/A,#N/A,45.27020525,36.19569753,2000,
Verfassungsartikel über eine Energielenkungsabgabe für die Umwelt,2000-09-23T22:00:00Z,Energie,700,44.90049356,23,Energiepolitik,700,40.68013851,7,Indirekte Steuern,Umweltpolitik,44.89111687,44.50756215,2000,
Solarinitiative und Gegenvorschlag: Stichfrage,2000-09-23T22:00:00Z,Energie,700,44.90049356,23,Alternativenergien,700,44.70343305,3,Indirekte Steuern,Umweltpolitik,44.70343305,34.56253086,2000,
Verfassungsartikel über eine Förderabgabe für erneuerbare Energien,2000-09-23T22:00:00Z,Energie,700,44.90049356,23,Alternativenergien,700,44.70343305,3,Indirekte Steuern,Umweltpolitik,44.70343305,46.62626146,2000,
Volksinitiative «für einen Solarrappen»,2000-09-23T22:00:00Z,Energie,700,44.90049356,23,Alternativenergien,700,44.70343305,3,Indirekte Steuern,Umweltpolitik,44.70343305,31.81696234,2000,
Bundesbeschluss über die Genehmigung der sektoriellen Abkommen zwischen der Schweizerischen Eidgenossenschaft einerseits und der Europäischen Gemeinschaft andererseits,2000-05-20T22:00:00Z,Aussenpolitik,200,50.44954623,33,EU,220,49.92906491,10,#N/A,#N/A,48.30727185,67.19227781,2000,
Volksinitiative «für die Halbierung des motorisierten Strassenverkehrs zur Erhaltung und Verbesserung von Lebensräumen (Verkehrshalbierungs-Initiative)»,2000-03-11T23:00:00Z,Verkehr und Infrastruktur,800,47.82569784,55,Verkehrspolitik,800,47.46350524,9,Umweltpolitik,#N/A,42.3798551,21.33361189,2000,
Volksinitiative «zum Schutze des Menschen vor Manipulationen in der Fortpflanzungstechnologie (Initiative für menschenwürdige Fortpflanzung [FMF])»,2000-03-11T23:00:00Z,Sozialpolitik,1000,48.56855724,132,Fortpflanzungsmedizin,1010,42.89311054,4,Forschung,#N/A,42.2003793,28.24426123,2000,
Volksinitiative «für eine gerechte Vertretung der Frauen in den Bundesbehörden (Initiative 3. März)»,2000-03-11T23:00:00Z,Sozialpolitik,1000,48.56855724,132,Stellung der Frau,1030,44.23063962,4,Institutionen,Wahlsystem,42.18692183,17.97005251,2000,
Volksinitiative «für Beschleunigung der direkten Demokratie (Behandlungsfristen für Volksinitiativen in Form eines ausgearbeiteten Entwurfs)»,2000-03-11T23:00:00Z,Staatsordnung,100,48.14813263,94,Initiative,140,41.52211466,8,Verfassungsgebungsverfahren,#N/A,42.10458876,30.00271211,2000,
Bundesbeschluss über die Justizreform,2000-03-11T23:00:00Z,Staatsordnung,100,48.14813263,94,Gerichte,130,47.5891708,5,#N/A,#N/A,41.92264469,86.35772679,2000,
Bundesgesetz über die Mutterschaftsversicherung,1999-06-12T22:00:00Z,Sozialpolitik,1000,48.56855724,132,Mutterschaftsversicherung,1020,48.23409855,4,Stellung der Frau,#N/A,45.94743156,38.99232061,1999,
Bundesgesetz über die Invalidenversicherung,1999-06-12T22:00:00Z,Sozialpolitik,1000,48.56855724,132,Invalidenversicherung,1020,40.95104287,3,Behinderte,#N/A,45.64127806,30.28598637,1999,
Bundesbeschluss über die ärztliche Verschreibung von Heroin,1999-06-12T22:00:00Z,Sozialpolitik,1000,48.56855724,132,Suchtmittel,1010,50.77990726,17,#N/A,#N/A,45.74264769,54.42465967,1999,
Bundesbeschluss über dringliche Massnahmen im Asyl- und Ausländerbereich,1999-06-12T22:00:00Z,Sozialpolitik,1000,48.56855724,132,Flüchtlinge,1030,45.42428137,8,Ausländerpolitik,#N/A,45.62089652,70.84444775,1999,
Asylgesetz,1999-06-12T22:00:00Z,Sozialpolitik,1000,48.56855724,132,Flüchtlinge,1030,45.42428137,8,#N/A,#N/A,45.58327569,70.58540708,1999,
Bundesbeschluss über eine neue Bundesverfassung,1999-04-17T22:00:00Z,Staatsordnung,100,48.14813263,94,Bundesverfassung,120,48.39893792,2,#N/A,#N/A,35.90181815,59.15953195,1999,
